,noFace,Face,,Left eye,,Right eye ,,Left,Right,Up,Down,Face width:,,,,,,,,
capture_2020_06_10_13_04_41_000402,0,320,204,254,184,365,175,0,0,0,0,247,,0.492424242,0.481092437,0.407290016,0.445520581,0.579598145,0.441102757,0.59922179
capture_2020_06_10_13_04_41_000403,0,319,206,253,187,364,176,0,0,0,0,247,,0.490909091,0.485294118,0.40570523,0.452784504,0.57805255,0.443609023,0.59922179
capture_2020_06_10_13_04_41_000404,0,320,206,255,188,365,179,0,0,0,0,247,,0.492424242,0.485294118,0.408874802,0.455205811,0.579598145,0.45112782,0.59922179
capture_2020_06_10_13_04_41_000405,0,320,206,255,192,365,182,0,0,0,0,247,,0.492424242,0.485294118,0.408874802,0.464891041,0.579598145,0.458646617,0.59922179
capture_2020_06_10_13_04_41_000406,0,320,206,255,192,365,182,0,0,0,0,247,,0.492424242,0.485294118,0.408874802,0.464891041,0.579598145,0.458646617,0.59922179
capture_2020_06_10_13_04_41_000407,0,320,206,255,192,365,182,0,0,0,0,247,,0.492424242,0.485294118,0.408874802,0.464891041,0.579598145,0.458646617,0.59922179
capture_2020_06_10_13_04_41_000408,0,320,206,255,192,365,182,0,0,0,0,247,,0.492424242,0.485294118,0.408874802,0.464891041,0.579598145,0.458646617,0.59922179
capture_2020_06_10_13_04_41_000409,0,320,206,255,192,365,182,0,0,0,0,247,,0.492424242,0.485294118,0.408874802,0.464891041,0.579598145,0.458646617,0.59922179
capture_2020_06_10_13_04_41_000410,0,320,206,255,192,365,182,0,0,0,0,247,,0.492424242,0.485294118,0.408874802,0.464891041,0.579598145,0.458646617,0.59922179
capture_2020_06_10_13_04_41_000411,0,320,206,255,192,365,182,0,0,0,0,247,,0.492424242,0.485294118,0.408874802,0.464891041,0.579598145,0.458646617,0.59922179
capture_2020_06_10_13_04_41_000412,0,320,206,255,192,365,182,0,0,0,0,247,,0.492424242,0.485294118,0.408874802,0.464891041,0.579598145,0.458646617,0.59922179
capture_2020_06_10_13_04_41_000413,0,320,206,255,192,365,182,0,0,0,0,247,,0.492424242,0.485294118,0.408874802,0.464891041,0.579598145,0.458646617,0.59922179
capture_2020_06_10_13_04_41_000414,0,320,206,255,192,365,182,0,0,0,0,247,,0.492424242,0.485294118,0.408874802,0.464891041,0.579598145,0.458646617,0.59922179
capture_2020_06_11_13_57_27_000241,1,229,264,160,144,224,144,0,0,0,0,202,,0.354545455,0.607142857,0.258320127,0.348668281,0.361669243,0.363408521,0.424124514
capture_2020_06_11_13_57_27_000242,1,229,264,160,144,224,144,0,0,0,0,202,,0.354545455,0.607142857,0.258320127,0.348668281,0.361669243,0.363408521,0.424124514
capture_2020_06_11_13_57_27_000243,1,229,264,160,144,224,144,0,0,0,0,202,,0.354545455,0.607142857,0.258320127,0.348668281,0.361669243,0.363408521,0.424124514
capture_2020_06_11_13_57_27_000244,1,229,264,160,144,224,144,0,0,0,0,202,,0.354545455,0.607142857,0.258320127,0.348668281,0.361669243,0.363408521,0.424124514
capture_2020_06_11_13_57_27_000245,1,229,264,160,144,224,144,0,0,0,0,202,,0.354545455,0.607142857,0.258320127,0.348668281,0.361669243,0.363408521,0.424124514
capture_2020_06_11_13_57_27_000246,1,229,264,160,144,224,144,0,0,0,0,202,,0.354545455,0.607142857,0.258320127,0.348668281,0.361669243,0.363408521,0.424124514
capture_2020_06_11_13_57_27_000247,1,229,264,160,144,224,144,0,0,0,0,202,,0.354545455,0.607142857,0.258320127,0.348668281,0.361669243,0.363408521,0.424124514
capture_2020_06_11_13_57_27_000248,1,229,264,160,144,224,144,0,0,0,0,202,,0.354545455,0.607142857,0.258320127,0.348668281,0.361669243,0.363408521,0.424124514
capture_2020_06_11_13_57_27_000249,1,229,264,160,144,224,144,0,0,0,0,202,,0.354545455,0.607142857,0.258320127,0.348668281,0.361669243,0.363408521,0.424124514
capture_2020_06_11_13_57_27_000250,1,229,264,160,144,224,144,0,0,0,0,202,,0.354545455,0.607142857,0.258320127,0.348668281,0.361669243,0.363408521,0.424124514
capture_2020_06_11_13_57_27_000251,1,229,264,160,144,224,144,0,0,0,0,202,,0.354545455,0.607142857,0.258320127,0.348668281,0.361669243,0.363408521,0.424124514
capture_2020_06_11_13_57_27_000252,1,229,264,160,144,224,144,0,0,0,0,202,,0.354545455,0.607142857,0.258320127,0.348668281,0.361669243,0.363408521,0.424124514
capture_2020_06_11_13_57_27_000253,1,229,264,160,144,224,144,0,0,0,0,202,,0.354545455,0.607142857,0.258320127,0.348668281,0.361669243,0.363408521,0.424124514
capture_2020_06_11_13_57_27_000254,1,229,264,160,144,224,144,0,0,0,0,202,,0.354545455,0.607142857,0.258320127,0.348668281,0.361669243,0.363408521,0.424124514
capture_2020_06_11_13_57_27_000255,1,229,264,160,144,224,144,0,0,0,0,202,,0.354545455,0.607142857,0.258320127,0.348668281,0.361669243,0.363408521,0.424124514
capture_2020_06_11_13_57_27_000256,1,229,264,160,144,224,144,0,0,0,0,202,,0.354545455,0.607142857,0.258320127,0.348668281,0.361669243,0.363408521,0.424124514
capture_2020_06_11_13_57_27_000257,1,229,264,160,144,224,144,0,0,0,0,202,,0.354545455,0.607142857,0.258320127,0.348668281,0.361669243,0.363408521,0.424124514
capture_2020_06_11_13_57_27_000258,1,229,264,160,144,224,144,0,0,0,0,202,,0.354545455,0.607142857,0.258320127,0.348668281,0.361669243,0.363408521,0.424124514
capture_2020_06_11_13_57_27_000259,1,229,264,160,144,224,144,0,0,0,0,202,,0.354545455,0.607142857,0.258320127,0.348668281,0.361669243,0.363408521,0.424124514
capture_2020_06_11_13_57_27_000260,1,229,264,160,144,224,144,0,0,0,0,202,,0.354545455,0.607142857,0.258320127,0.348668281,0.361669243,0.363408521,0.424124514
capture_2020_06_11_13_57_27_000261,1,229,264,160,144,224,144,0,0,0,0,202,,0.354545455,0.607142857,0.258320127,0.348668281,0.361669243,0.363408521,0.424124514
capture_2020_07_17_10_29_02_748,0,437,264,450,258,497,253,0,1,0,0,221,,0.66969697,0.607142857,0.717908082,0.624697337,0.783616692,0.636591479,0.498054475
capture_2020_07_17_10_29_02_749,0,440,264,458,259,504,256,0,1,0,0,221,,0.674242424,0.607142857,0.730586371,0.627118644,0.794435858,0.644110276,0.498054475
capture_2020_07_17_10_29_02_750,0,445,264,463,260,508,259,0,1,0,0,221,,0.681818182,0.607142857,0.738510301,0.629539952,0.800618238,0.651629073,0.498054475
capture_2020_07_17_10_29_02_751,0,446,262,463,261,508,261,0,1,0,0,221,,0.683333333,0.602941176,0.738510301,0.631961259,0.800618238,0.656641604,0.498054475
capture_2020_07_17_10_29_02_752,0,447,262,461,261,507,262,0,1,0,0,221,,0.684848485,0.602941176,0.735340729,0.631961259,0.799072643,0.65914787,0.498054475
capture_2020_07_17_10_29_02_753,0,447,262,458,261,505,262,0,1,0,0,221,,0.684848485,0.602941176,0.730586371,0.631961259,0.795981453,0.65914787,0.498054475
capture_2020_07_17_10_29_02_754,0,440,262,458,261,504,262,0,1,0,0,221,,0.674242424,0.602941176,0.730586371,0.631961259,0.794435858,0.65914787,0.498054475
capture_2020_07_17_10_29_02_755,0,435,262,452,261,504,262,0,1,0,0,221,,0.666666667,0.602941176,0.721077655,0.631961259,0.794435858,0.65914787,0.498054475
capture_2020_07_17_10_29_02_756,0,430,262,444,261,497,263,0,1,0,0,221,,0.659090909,0.602941176,0.708399366,0.631961259,0.783616692,0.661654135,0.498054475
capture_2020_07_17_10_29_02_757,0,427,262,436,261,493,262,0,1,0,0,221,,0.654545455,0.602941176,0.695721078,0.631961259,0.777434312,0.65914787,0.498054475
capture_2020_07_17_10_29_02_758,0,417,262,429,260,485,261,0,1,0,0,221,,0.639393939,0.602941176,0.684627575,0.629539952,0.765069552,0.656641604,0.498054475
capture_2020_07_17_10_29_02_759,0,411,262,424,258,483,261,0,1,0,0,221,,0.63030303,0.602941176,0.676703645,0.624697337,0.761978362,0.656641604,0.498054475
capture_2020_07_17_10_29_02_760,0,408,262,418,258,475,257,0,1,0,0,221,,0.625757576,0.602941176,0.667194929,0.624697337,0.749613601,0.646616541,0.498054475
capture_2020_07_17_10_29_02_761,0,404,262,411,258,475,257,0,1,0,0,221,,0.61969697,0.602941176,0.656101426,0.624697337,0.749613601,0.646616541,0.498054475
capture_2020_07_17_10_29_02_762,0,399,264,406,255,465,253,0,1,0,0,221,,0.612121212,0.607142857,0.648177496,0.617433414,0.734157651,0.636591479,0.498054475
capture_2020_07_17_10_29_02_763,0,395,264,399,253,458,248,0,1,0,0,221,,0.606060606,0.607142857,0.637083994,0.612590799,0.723338485,0.62406015,0.498054475
capture_2020_07_17_10_29_02_764,0,383,259,387,251,451,246,0,1,0,0,221,,0.587878788,0.596638655,0.618066561,0.607748184,0.71251932,0.619047619,0.498054475
capture_2020_07_17_10_29_02_765,0,378,259,372,250,445,246,0,1,0,0,221,,0.58030303,0.596638655,0.59429477,0.605326877,0.70324575,0.619047619,0.498054475
capture_2020_07_17_10_29_02_766,0,358,259,356,253,436,246,0,1,0,0,221,,0.55,0.596638655,0.568938193,0.612590799,0.689335394,0.619047619,0.498054475
capture_2020_07_17_10_29_02_767,0,338,259,337,252,422,244,0,1,0,0,221,,0.51969697,0.596638655,0.538827258,0.610169492,0.667697063,0.614035088,0.498054475
capture_2020_07_17_12_10_14_000128,0,232,278,166,283,273,267,0,0,0,0,246,,0.359090909,0.636554622,0.267828843,0.685230024,0.4374034,0.671679198,0.595330739
capture_2020_07_17_12_10_14_000129,0,237,278,172,280,282,266,0,0,0,0,246,,0.366666667,0.636554622,0.277337559,0.677966102,0.451313756,0.669172932,0.595330739
capture_2020_07_17_12_10_14_000130,0,240,278,179,282,291,269,0,0,0,0,246,,0.371212121,0.636554622,0.288431062,0.682808717,0.465224111,0.676691729,0.595330739
capture_2020_07_17_12_10_14_000131,0,245,278,188,280,299,271,0,0,0,0,246,,0.378787879,0.636554622,0.302694136,0.677966102,0.477588872,0.681704261,0.595330739
capture_2020_07_17_12_10_14_000132,0,254,278,196,276,307,272,0,0,0,0,246,,0.392424242,0.636554622,0.315372425,0.668280872,0.489953632,0.684210526,0.595330739
capture_2020_07_17_12_10_14_000133,0,258,278,204,278,317,275,0,0,0,0,246,,0.398484848,0.636554622,0.328050713,0.673123487,0.505409583,0.691729323,0.595330739
capture_2020_07_17_12_10_14_000134,0,263,289,214,279,328,277,0,0,0,0,246,,0.406060606,0.659663866,0.343898574,0.675544794,0.522411128,0.696741855,0.595330739
capture_2020_07_17_12_10_14_000135,0,271,288,221,278,337,278,0,0,0,0,246,,0.418181818,0.657563025,0.354992076,0.673123487,0.536321484,0.69924812,0.595330739
capture_2020_07_17_12_10_14_000136,0,277,288,229,282,345,285,0,0,0,0,246,,0.427272727,0.657563025,0.367670365,0.682808717,0.548686244,0.71679198,0.595330739
capture_2020_07_17_12_10_14_000137,0,282,287,239,282,351,287,0,0,0,0,246,,0.434848485,0.655462185,0.383518225,0.682808717,0.557959815,0.721804511,0.595330739
capture_2020_07_17_12_10_14_000138,0,289,286,247,282,359,289,0,0,0,0,246,,0.445454545,0.653361345,0.396196513,0.682808717,0.570324575,0.726817043,0.595330739
capture_2020_07_17_12_10_14_000139,0,296,284,254,284,367,293,0,0,0,0,246,,0.456060606,0.649159664,0.407290016,0.687651332,0.582689335,0.736842105,0.595330739
capture_2020_07_17_12_10_14_000140,0,271,272,252,264,351,257,0,1,0,0,240,,0.418181818,0.62394958,0.404120444,0.639225182,0.557959815,0.646616541,0.571984436
capture_2020_07_17_12_10_14_000141,0,270,272,252,267,351,256,0,1,0,0,240,,0.416666667,0.62394958,0.404120444,0.646489104,0.557959815,0.644110276,0.571984436
capture_2020_07_17_12_10_14_000142,0,267,272,252,267,351,256,0,1,0,0,240,,0.412121212,0.62394958,0.404120444,0.646489104,0.557959815,0.644110276,0.571984436
capture_2020_07_17_12_10_14_000143,0,266,275,243,273,342,257,0,1,0,0,244,,0.410606061,0.630252101,0.389857369,0.661016949,0.544049459,0.646616541,0.587548638
capture_2020_07_17_12_10_14_000144,0,262,275,239,276,341,257,0,1,0,0,244,,0.404545455,0.630252101,0.383518225,0.668280872,0.542503864,0.646616541,0.587548638
capture_2020_07_17_12_10_14_000145,0,258,275,235,277,335,259,0,1,0,0,244,,0.398484848,0.630252101,0.377179081,0.670702179,0.533230294,0.651629073,0.587548638
capture_2020_07_17_12_10_14_000146,0,256,278,232,280,333,260,0,1,0,0,248,,0.395454545,0.636554622,0.372424723,0.677966102,0.530139104,0.654135338,0.60311284
capture_2020_07_17_12_10_14_000147,0,254,278,227,284,332,261,0,1,0,0,248,,0.392424242,0.636554622,0.364500792,0.687651332,0.528593509,0.656641604,0.60311284
capture_2020_07_17_12_10_14_000148,0,247,283,222,287,327,264,0,1,0,0,255,,0.381818182,0.647058824,0.356576862,0.694915254,0.520865533,0.664160401,0.630350195
capture_2020_07_17_12_10_14_000149,0,244,283,219,290,324,265,0,1,0,0,255,,0.377272727,0.647058824,0.351822504,0.702179177,0.516228748,0.666666667,0.630350195
capture_2020_07_17_12_10_14_000150,0,242,283,216,292,322,265,0,1,0,0,255,,0.374242424,0.647058824,0.347068146,0.707021792,0.513137558,0.666666667,0.630350195
capture_2020_07_17_12_10_14_000151,0,258,245,202,230,303,232,0,0,0,0,230,,0.398484848,0.567226891,0.324881141,0.556900726,0.483771252,0.5839599,0.53307393
capture_2020_07_17_12_10_14_000152,0,258,245,202,230,303,232,0,0,0,0,230,,0.398484848,0.567226891,0.324881141,0.556900726,0.483771252,0.5839599,0.53307393
capture_2020_07_17_12_10_14_000153,0,251,248,188,237,293,233,0,0,0,0,234,,0.387878788,0.573529412,0.302694136,0.573849879,0.468315301,0.586466165,0.548638132
capture_2020_07_17_12_10_14_000154,0,248,248,183,239,289,232,0,0,0,0,234,,0.383333333,0.573529412,0.294770206,0.578692494,0.462132921,0.5839599,0.548638132
capture_2020_07_17_12_10_14_000155,0,243,248,179,241,282,230,0,0,0,0,234,,0.375757576,0.573529412,0.288431062,0.583535109,0.451313756,0.578947368,0.548638132
capture_2020_07_17_12_10_14_000156,0,240,248,174,244,276,227,0,0,0,0,234,,0.371212121,0.573529412,0.280507132,0.590799031,0.442040185,0.571428571,0.548638132
capture_2020_07_17_12_10_14_000157,0,237,248,169,245,271,228,0,0,0,0,234,,0.366666667,0.573529412,0.272583201,0.593220339,0.43431221,0.573934837,0.548638132
capture_2020_07_17_12_10_14_000158,0,233,248,166,245,267,228,0,0,0,0,234,,0.360606061,0.573529412,0.267828843,0.593220339,0.42812983,0.573934837,0.548638132
capture_2020_07_17_12_10_14_000159,0,228,250,159,245,259,227,0,0,0,0,238,,0.353030303,0.577731092,0.256735341,0.593220339,0.41576507,0.571428571,0.564202335
capture_2020_07_17_12_10_14_000160,0,226,250,156,248,253,223,0,0,0,0,238,,0.35,0.577731092,0.251980983,0.600484262,0.406491499,0.561403509,0.564202335
capture_2020_07_17_12_10_14_000161,0,223,250,150,250,249,223,0,0,0,0,238,,0.345454545,0.577731092,0.242472266,0.605326877,0.400309119,0.561403509,0.564202335
capture_2020_07_17_12_10_14_000162,0,219,250,145,252,246,225,0,0,0,0,238,,0.339393939,0.577731092,0.234548336,0.610169492,0.395672334,0.56641604,0.564202335
capture_2020_07_17_12_10_14_000163,0,216,250,141,256,236,225,0,0,0,0,238,,0.334848485,0.577731092,0.228209192,0.619854722,0.380216383,0.56641604,0.564202335
capture_2020_07_17_12_10_14_000164,0,211,250,137,256,232,225,0,0,0,0,238,,0.327272727,0.577731092,0.221870048,0.619854722,0.374034003,0.56641604,0.564202335
capture_2020_07_17_12_10_14_000165,0,207,251,129,258,229,223,0,0,0,0,238,,0.321212121,0.579831933,0.209191759,0.624697337,0.369397218,0.561403509,0.564202335
capture_2020_07_17_12_10_14_000166,0,280,253,230,235,333,243,0,0,0,0,238,,0.431818182,0.584033613,0.369255151,0.569007264,0.530139104,0.611528822,0.564202335
capture_2020_07_17_12_10_14_000376,0,383,197,358,163,465,166,0,1,0,0,248,,0.587878788,0.466386555,0.572107765,0.394673123,0.734157651,0.418546366,0.60311284
capture_2020_07_17_12_10_14_000377,0,388,200,367,163,473,167,0,1,0,0,248,,0.595454545,0.472689076,0.58637084,0.394673123,0.746522411,0.421052632,0.60311284
capture_2020_07_17_12_10_14_000378,0,395,200,377,164,479,167,0,1,0,0,248,,0.606060606,0.472689076,0.6022187,0.397094431,0.755795981,0.421052632,0.60311284
capture_2020_07_17_12_10_14_000379,0,398,203,383,164,484,167,0,1,0,0,248,,0.610606061,0.478991597,0.611727417,0.397094431,0.763523957,0.421052632,0.60311284
capture_2020_07_17_12_10_14_000380,0,397,205,383,164,486,167,0,1,0,0,248,,0.609090909,0.483193277,0.611727417,0.397094431,0.766615147,0.421052632,0.60311284
capture_2020_07_17_12_10_14_000381,0,395,207,376,166,482,170,0,1,0,0,248,,0.606060606,0.487394958,0.600633914,0.401937046,0.760432767,0.428571429,0.60311284
capture_2020_07_17_12_10_14_000382,0,390,207,360,169,474,176,0,0,0,0,248,,0.598484848,0.487394958,0.575277338,0.409200969,0.748068006,0.443609023,0.60311284
capture_2020_07_17_12_10_14_000383,0,385,206,344,169,456,179,0,0,0,0,248,,0.590909091,0.485294118,0.549920761,0.409200969,0.720247295,0.45112782,0.60311284
capture_2020_07_17_12_10_14_000384,0,378,210,328,168,440,182,0,0,0,0,248,,0.58030303,0.493697479,0.524564184,0.406779661,0.695517774,0.458646617,0.60311284
capture_2020_07_17_12_10_14_000385,0,377,214,320,168,432,182,0,0,0,0,248,,0.578787879,0.50210084,0.511885895,0.406779661,0.683153014,0.458646617,0.60311284
capture_2020_07_17_12_10_14_000386,0,377,214,319,170,430,184,0,0,0,0,248,,0.578787879,0.50210084,0.510301109,0.411622276,0.680061824,0.463659148,0.60311284
capture_2020_07_17_12_10_14_000387,0,379,213,321,170,433,182,0,0,0,0,248,,0.581818182,0.5,0.513470681,0.411622276,0.684698609,0.458646617,0.60311284
capture_2020_07_17_12_10_14_000388,0,377,213,319,172,431,183,0,0,0,0,248,,0.578787879,0.5,0.510301109,0.416464891,0.681607419,0.461152882,0.60311284
capture_2020_07_17_12_10_14_000389,0,377,213,319,172,431,183,0,0,0,0,248,,0.578787879,0.5,0.510301109,0.416464891,0.681607419,0.461152882,0.60311284
capture_2020_07_17_12_10_14_000390,0,376,213,318,172,430,183,0,0,0,0,248,,0.577272727,0.5,0.508716323,0.416464891,0.680061824,0.461152882,0.60311284
capture_2020_07_17_12_10_14_000391,0,376,213,316,173,428,182,0,0,0,0,248,,0.577272727,0.5,0.505546751,0.418886199,0.676970634,0.458646617,0.60311284
capture_2020_07_17_12_10_14_000392,0,370,213,312,174,427,185,0,0,0,0,248,,0.568181818,0.5,0.499207607,0.421307506,0.675425039,0.466165414,0.60311284
capture_2020_07_17_12_10_14_000393,0,365,213,308,178,422,186,0,0,0,0,248,,0.560606061,0.5,0.492868463,0.430992736,0.667697063,0.468671679,0.60311284
capture_2020_07_17_12_10_14_000394,0,365,213,301,178,419,186,0,0,0,0,248,,0.560606061,0.5,0.48177496,0.430992736,0.663060278,0.468671679,0.60311284
capture_2020_07_17_12_10_14_000395,0,361,213,301,178,416,184,0,0,0,0,248,,0.554545455,0.5,0.48177496,0.430992736,0.658423493,0.463659148,0.60311284
capture_2020_07_17_12_10_14_000396,0,358,213,300,179,413,182,0,0,0,0,248,,0.55,0.5,0.480190174,0.433414044,0.653786708,0.458646617,0.60311284
capture_2020_07_17_12_10_14_000397,0,356,211,299,177,411,180,0,0,0,0,248,,0.546969697,0.495798319,0.478605388,0.428571429,0.650695518,0.453634085,0.60311284
capture_2020_07_17_12_10_14_000398,0,352,211,295,176,408,177,0,0,0,0,248,,0.540909091,0.495798319,0.472266244,0.426150121,0.646058733,0.446115288,0.60311284
capture_2020_07_17_12_10_14_000399,0,351,211,294,173,406,174,0,0,0,0,248,,0.539393939,0.495798319,0.470681458,0.418886199,0.642967543,0.438596491,0.60311284
capture_2020_07_17_12_10_14_000400,0,348,211,289,173,403,174,0,0,0,0,248,,0.534848485,0.495798319,0.462757528,0.418886199,0.638330757,0.438596491,0.60311284
capture_2020_07_17_12_10_14_000401,0,345,211,288,173,401,173,0,0,0,0,248,,0.53030303,0.495798319,0.461172742,0.418886199,0.635239567,0.436090226,0.60311284
capture_2020_07_17_12_10_14_000402,0,342,210,284,175,398,173,0,0,0,0,248,,0.525757576,0.493697479,0.454833597,0.423728814,0.630602782,0.436090226,0.60311284
capture_2020_07_17_12_10_14_000403,0,341,210,282,175,396,173,0,0,0,0,248,,0.524242424,0.493697479,0.451664025,0.423728814,0.627511592,0.436090226,0.60311284
capture_2020_07_17_12_10_14_000404,0,341,208,281,175,393,173,0,0,0,0,248,,0.524242424,0.489495798,0.450079239,0.423728814,0.622874807,0.436090226,0.60311284
capture_2020_07_17_12_10_14_000405,0,339,206,278,175,392,172,0,0,0,0,248,,0.521212121,0.485294118,0.445324881,0.423728814,0.621329212,0.43358396,0.60311284
capture_2020_07_17_12_10_14_000406,0,338,205,278,173,390,171,0,0,0,0,248,,0.51969697,0.483193277,0.445324881,0.418886199,0.618238022,0.431077694,0.60311284
capture_2020_07_17_12_10_14_000407,0,336,205,276,173,388,171,0,0,0,0,248,,0.516666667,0.483193277,0.442155309,0.418886199,0.615146832,0.431077694,0.60311284
capture_2020_07_17_12_10_14_000408,0,336,205,275,173,387,171,0,0,0,0,248,,0.516666667,0.483193277,0.440570523,0.418886199,0.613601236,0.431077694,0.60311284
capture_2020_07_17_12_10_14_000409,0,335,205,278,173,387,171,0,0,0,0,248,,0.515151515,0.483193277,0.445324881,0.418886199,0.613601236,0.431077694,0.60311284
