,noLeftEye,noRightEye,Left Eye,,Right Eye,,Nose,,Mouth Up,,Mouth Down,,Left,Right,Up,Down,Face width:,,,,,,,,,,,
capture_2020_04_17_11_39_49_7665,0,0,54,166,155,174,102,230,98,266,97,278,0,0,0,0,200,,0.315789474,0.833333333,0.713333333,0.850574713,0.515,0.897849462,0.492063492,0.88125,0.466666667,0.888888889
capture_2020_04_17_11_39_49_7666,0,0,54,168,156,175,102,230,98,267,97,281,0,0,0,0,200,,0.315789474,0.845238095,0.72,0.856321839,0.515,0.897849462,0.492063492,0.8875,0.466666667,0.908496732
capture_2020_04_17_11_39_49_7667,0,0,54,167,154,174,101,230,98,268,96,278,0,0,0,0,200,,0.315789474,0.839285714,0.706666667,0.850574713,0.51,0.897849462,0.492063492,0.89375,0.461111111,0.888888889
capture_2020_04_17_11_39_49_7668,0,0,57,164,157,172,103,231,99,264,99,277,0,0,0,0,200,,0.335526316,0.821428571,0.726666667,0.83908046,0.52,0.903225806,0.497354497,0.86875,0.477777778,0.882352941
capture_2020_04_17_11_39_49_7669,0,0,56,157,156,167,104,221,99,259,99,272,0,0,0,0,200,,0.328947368,0.779761905,0.72,0.810344828,0.525,0.849462366,0.497354497,0.8375,0.477777778,0.849673203
capture_2020_04_17_11_39_49_7670,0,0,58,153,162,163,108,220,103,254,102,269,0,0,0,0,200,,0.342105263,0.755952381,0.76,0.787356322,0.545,0.844086022,0.518518519,0.80625,0.494444444,0.830065359
capture_2020_04_17_11_39_49_7671,0,0,58,151,162,161,109,215,105,251,104,266,0,0,0,0,200,,0.342105263,0.744047619,0.76,0.775862069,0.55,0.817204301,0.529100529,0.7875,0.505555556,0.810457516
capture_2020_04_17_11_39_49_7672,0,0,58,148,161,157,109,210,103,245,101,260,0,0,0,0,200,,0.342105263,0.726190476,0.753333333,0.752873563,0.55,0.790322581,0.518518519,0.75,0.488888889,0.77124183
capture_2020_05_25_14_51_35_231,0,0,24,137,79,137,11,183,26,223,34,241,0,0,0,0,200,,0.118421053,0.660714286,0.206666667,0.637931034,0.06,0.64516129,0.111111111,0.6125,0.116666667,0.647058824
capture_2020_05_25_14_51_35_232,0,0,23,137,76,135,5,181,20,222,33,242,0,0,0,0,200,,0.111842105,0.660714286,0.186666667,0.626436782,0.03,0.634408602,0.079365079,0.60625,0.111111111,0.653594771
capture_2020_05_25_14_51_35_233,0,0,23,135,77,135,1,181,20,222,32,240,0,0,0,0,200,,0.111842105,0.648809524,0.193333333,0.626436782,0.01,0.634408602,0.079365079,0.60625,0.105555556,0.640522876
capture_2020_05_25_14_51_35_234,0,0,23,134,73,134,1,181,20,222,32,239,0,0,0,0,200,,0.111842105,0.642857143,0.166666667,0.620689655,0.01,0.634408602,0.079365079,0.60625,0.105555556,0.633986928
capture_2020_05_25_14_51_35_235,1,0,26,135,70,134,1,181,20,222,30,238,0,0,0,0,200,,0.131578947,0.648809524,0.146666667,0.620689655,0.01,0.634408602,0.079365079,0.60625,0.094444444,0.62745098
capture_2020_05_25_14_51_35_236,1,0,26,135,71,134,1,181,21,219,30,237,0,0,0,0,200,,0.131578947,0.648809524,0.153333333,0.620689655,0.01,0.634408602,0.084656085,0.5875,0.094444444,0.620915033
capture_2020_05_25_14_51_35_237,1,0,27,133,69,133,1,178,17,218,28,236,0,0,0,0,200,,0.138157895,0.636904762,0.14,0.614942529,0.01,0.61827957,0.063492063,0.58125,0.083333333,0.614379085
capture_2020_05_25_14_51_35_238,1,0,26,133,67,133,1,178,18,218,27,236,0,0,0,0,200,,0.131578947,0.636904762,0.126666667,0.614942529,0.01,0.61827957,0.068783069,0.58125,0.077777778,0.614379085
capture_2020_05_25_14_51_35_239,1,0,26,133,64,132,1,178,14,216,24,235,0,0,0,0,200,,0.131578947,0.636904762,0.106666667,0.609195402,0.01,0.61827957,0.047619048,0.56875,0.061111111,0.607843137
capture_2020_05_25_14_51_35_240,1,0,26,132,63,132,1,176,13,217,24,235,0,0,0,0,200,,0.131578947,0.630952381,0.1,0.609195402,0.01,0.607526882,0.042328042,0.575,0.061111111,0.607843137
capture_2020_05_25_14_51_35_241,1,0,26,133,60,133,0,175,12,217,23,235,0,0,0,0,200,,0.131578947,0.636904762,0.08,0.614942529,0.005,0.602150538,0.037037037,0.575,0.055555556,0.607843137
capture_2020_05_25_14_51_35_242,1,0,24,133,59,133,1,175,11,217,21,235,0,0,0,0,200,,0.118421053,0.636904762,0.073333333,0.614942529,0.01,0.602150538,0.031746032,0.575,0.044444444,0.607843137
capture_2020_05_25_14_51_35_243,1,0,25,132,59,133,1,175,11,216,21,235,0,0,0,0,200,,0.125,0.630952381,0.073333333,0.614942529,0.01,0.602150538,0.031746032,0.56875,0.044444444,0.607843137
capture_2020_05_25_14_51_35_244,1,0,24,133,57,133,1,174,11,216,20,234,0,0,0,0,200,,0.118421053,0.636904762,0.06,0.614942529,0.01,0.596774194,0.031746032,0.56875,0.038888889,0.60130719
capture_2020_05_25_14_51_35_245,1,0,27,134,56,133,1,173,11,217,21,234,0,0,0,0,200,,0.138157895,0.642857143,0.053333333,0.614942529,0.01,0.591397849,0.031746032,0.575,0.044444444,0.60130719
capture_2020_05_25_14_51_35_246,1,0,26,134,57,133,0,173,11,217,20,234,0,0,0,0,200,,0.131578947,0.642857143,0.06,0.614942529,0.005,0.591397849,0.031746032,0.575,0.038888889,0.60130719
capture_2020_05_25_14_51_35_247,1,0,27,134,57,134,0,173,11,216,20,234,0,0,0,0,200,,0.138157895,0.642857143,0.06,0.620689655,0.005,0.591397849,0.031746032,0.56875,0.038888889,0.60130719
capture_2020_05_25_14_51_35_248,1,0,27,134,57,134,0,173,14,219,24,234,0,0,0,0,200,,0.138157895,0.642857143,0.06,0.620689655,0.005,0.591397849,0.047619048,0.5875,0.061111111,0.60130719
capture_2020_05_25_14_51_35_249,1,0,32,134,56,134,0,178,15,219,24,234,0,0,0,0,200,,0.171052632,0.642857143,0.053333333,0.620689655,0.005,0.61827957,0.052910053,0.5875,0.061111111,0.60130719
capture_2020_05_25_14_51_35_250,1,0,32,134,55,135,0,178,15,219,24,234,0,0,0,0,200,,0.171052632,0.642857143,0.046666667,0.626436782,0.005,0.61827957,0.052910053,0.5875,0.061111111,0.60130719
capture_2020_05_25_14_51_35_251,1,0,32,134,55,135,0,178,15,219,24,234,0,0,0,0,200,,0.171052632,0.642857143,0.046666667,0.626436782,0.005,0.61827957,0.052910053,0.5875,0.061111111,0.60130719
capture_2020_05_25_14_51_35_252,1,0,31,133,53,135,0,178,14,217,24,234,0,0,0,0,200,,0.164473684,0.636904762,0.033333333,0.626436782,0.005,0.61827957,0.047619048,0.575,0.061111111,0.60130719
capture_2020_05_25_14_51_35_253,1,0,31,133,53,135,0,178,14,217,24,234,0,0,0,0,200,,0.164473684,0.636904762,0.033333333,0.626436782,0.005,0.61827957,0.047619048,0.575,0.061111111,0.60130719
capture_2020_05_25_14_51_35_254,1,0,31,132,53,134,0,178,14,218,24,234,0,0,0,0,200,,0.164473684,0.630952381,0.033333333,0.620689655,0.005,0.61827957,0.047619048,0.58125,0.061111111,0.60130719
capture_2020_05_25_14_51_35_255,1,0,31,132,51,135,0,178,14,218,24,234,0,0,0,0,200,,0.164473684,0.630952381,0.02,0.626436782,0.005,0.61827957,0.047619048,0.58125,0.061111111,0.60130719
capture_2020_05_25_14_51_35_256,1,0,31,132,51,135,0,178,14,218,24,234,0,0,0,0,200,,0.164473684,0.630952381,0.02,0.626436782,0.005,0.61827957,0.047619048,0.58125,0.061111111,0.60130719
capture_2020_05_25_14_51_35_257,1,0,31,132,51,135,0,178,14,218,24,234,0,0,0,0,200,,0.164473684,0.630952381,0.02,0.626436782,0.005,0.61827957,0.047619048,0.58125,0.061111111,0.60130719
capture_2020_05_25_14_51_35_258,1,0,31,132,51,135,0,178,14,218,24,234,0,0,0,0,200,,0.164473684,0.630952381,0.02,0.626436782,0.005,0.61827957,0.047619048,0.58125,0.061111111,0.60130719
capture_2020_05_25_14_51_35_259,1,0,31,132,51,135,0,178,14,218,24,234,0,0,0,0,200,,0.164473684,0.630952381,0.02,0.626436782,0.005,0.61827957,0.047619048,0.58125,0.061111111,0.60130719
capture_2020_05_25_15_24_05_2670,0,0,63,117,141,114,108,152,106,186,106,200,0,0,0,0,200,,0.375,0.541666667,0.62,0.505747126,0.545,0.478494624,0.534391534,0.38125,0.516666667,0.379084967
capture_2020_05_25_15_24_05_2671,0,0,61,116,139,113,108,152,106,184,106,198,0,0,0,0,200,,0.361842105,0.535714286,0.606666667,0.5,0.545,0.478494624,0.534391534,0.36875,0.516666667,0.366013072
capture_2020_05_25_15_24_05_2672,0,0,61,115,141,112,108,152,106,183,106,197,0,0,0,0,200,,0.361842105,0.529761905,0.62,0.494252874,0.545,0.478494624,0.534391534,0.3625,0.516666667,0.359477124
capture_2020_05_25_15_24_05_2673,0,0,59,114,140,112,105,152,105,183,105,197,0,0,0,0,200,,0.348684211,0.523809524,0.613333333,0.494252874,0.53,0.478494624,0.529100529,0.3625,0.511111111,0.359477124
capture_2020_05_25_15_24_05_2674,0,0,62,115,143,112,105,152,103,183,103,197,0,0,0,0,200,,0.368421053,0.529761905,0.633333333,0.494252874,0.53,0.478494624,0.518518519,0.3625,0.5,0.359477124
capture_2020_05_25_15_24_05_2675,0,0,63,114,142,112,103,150,102,183,102,197,0,0,0,0,200,,0.375,0.523809524,0.626666667,0.494252874,0.52,0.467741935,0.513227513,0.3625,0.494444444,0.359477124
capture_2020_05_25_15_24_05_2676,0,0,65,115,146,111,100,150,100,183,102,197,0,0,0,0,200,,0.388157895,0.529761905,0.653333333,0.488505747,0.505,0.467741935,0.502645503,0.3625,0.494444444,0.359477124
capture_2020_05_25_15_24_05_2677,0,0,60,114,140,112,92,150,94,185,95,196,0,0,0,0,200,,0.355263158,0.523809524,0.613333333,0.494252874,0.465,0.467741935,0.470899471,0.375,0.455555556,0.352941176
capture_2020_05_25_15_24_05_2678,0,0,60,112,141,112,92,150,94,185,94,196,0,0,0,0,200,,0.355263158,0.511904762,0.62,0.494252874,0.465,0.467741935,0.470899471,0.375,0.45,0.352941176
capture_2020_05_25_15_24_05_2679,0,0,54,112,129,112,92,150,94,185,94,196,0,0,0,0,200,,0.315789474,0.511904762,0.54,0.494252874,0.465,0.467741935,0.470899471,0.375,0.45,0.352941176
capture_2020_05_25_15_24_05_2680,0,0,52,112,127,112,70,150,77,185,78,196,1,0,0,0,200,,0.302631579,0.511904762,0.526666667,0.494252874,0.355,0.467741935,0.380952381,0.375,0.361111111,0.352941176
capture_2020_05_25_15_24_05_2681,0,0,42,112,119,112,56,150,67,183,67,196,1,0,0,0,200,,0.236842105,0.511904762,0.473333333,0.494252874,0.285,0.467741935,0.328042328,0.3625,0.3,0.352941176
capture_2020_05_25_15_24_05_2682,0,0,42,111,117,111,53,150,64,184,64,197,1,0,0,0,200,,0.236842105,0.505952381,0.46,0.488505747,0.27,0.467741935,0.312169312,0.36875,0.283333333,0.359477124
capture_2020_05_25_15_24_05_2683,0,0,42,111,114,113,50,150,58,183,59,195,1,0,0,0,200,,0.236842105,0.505952381,0.44,0.5,0.255,0.467741935,0.28042328,0.3625,0.255555556,0.346405229
capture_2020_05_25_15_24_05_2684,0,0,38,111,110,112,48,150,52,185,54,196,0,0,0,0,200,,0.210526316,0.505952381,0.413333333,0.494252874,0.245,0.467741935,0.248677249,0.375,0.227777778,0.352941176
capture_2020_05_25_15_24_05_2685,0,0,35,114,100,114,27,150,44,185,44,196,0,0,0,0,200,,0.190789474,0.523809524,0.346666667,0.505747126,0.14,0.467741935,0.206349206,0.375,0.172222222,0.352941176
capture_2020_05_25_15_24_05_2730,0,1,93,109,141,107,157,138,146,175,146,186,0,0,0,0,200,,0.572368421,0.494047619,0.62,0.465517241,0.79,0.403225806,0.746031746,0.3125,0.738888889,0.287581699
capture_2020_05_25_15_24_05_2731,0,1,95,109,143,107,162,137,149,175,149,186,0,0,0,0,200,,0.585526316,0.494047619,0.633333333,0.465517241,0.815,0.397849462,0.761904762,0.3125,0.755555556,0.287581699
capture_2020_05_25_15_24_05_2732,0,1,100,109,144,105,164,138,152,175,152,186,0,0,0,0,200,,0.618421053,0.494047619,0.64,0.454022989,0.825,0.403225806,0.777777778,0.3125,0.772222222,0.287581699
capture_2020_05_25_15_24_05_2733,0,1,107,109,149,104,172,137,156,175,156,186,0,0,0,0,200,,0.664473684,0.494047619,0.673333333,0.448275862,0.865,0.397849462,0.798941799,0.3125,0.794444444,0.287581699
capture_2020_05_25_15_24_05_2734,0,1,113,109,151,105,174,137,161,176,159,186,0,0,0,0,200,,0.703947368,0.494047619,0.686666667,0.454022989,0.875,0.397849462,0.825396825,0.31875,0.811111111,0.287581699
capture_2020_05_25_15_24_05_2735,0,1,113,109,151,105,174,137,161,176,159,186,0,0,0,0,200,,0.703947368,0.494047619,0.686666667,0.454022989,0.875,0.397849462,0.825396825,0.31875,0.811111111,0.287581699
capture_2020_05_25_15_24_05_2736,0,1,115,110,151,105,174,137,161,176,159,186,0,0,0,0,200,,0.717105263,0.5,0.686666667,0.454022989,0.875,0.397849462,0.825396825,0.31875,0.811111111,0.287581699
capture_2020_05_25_15_24_05_2737,0,1,115,110,151,105,174,137,161,176,159,186,0,0,0,0,200,,0.717105263,0.5,0.686666667,0.454022989,0.875,0.397849462,0.825396825,0.31875,0.811111111,0.287581699
capture_2020_05_25_15_24_05_2738,0,1,115,110,151,105,174,137,161,176,159,186,0,0,0,0,200,,0.717105263,0.5,0.686666667,0.454022989,0.875,0.397849462,0.825396825,0.31875,0.811111111,0.287581699
capture_2020_05_25_15_24_05_2739,0,1,115,110,151,105,174,137,161,176,159,186,0,0,0,0,200,,0.717105263,0.5,0.686666667,0.454022989,0.875,0.397849462,0.825396825,0.31875,0.811111111,0.287581699
capture_2020_05_25_15_24_05_2740,0,1,120,109,151,105,179,137,162,175,161,185,0,0,0,0,200,,0.75,0.494047619,0.686666667,0.454022989,0.9,0.397849462,0.830687831,0.3125,0.822222222,0.281045752
capture_2020_05_25_15_24_05_2741,0,1,120,109,151,105,179,137,162,175,161,185,0,0,0,0,200,,0.75,0.494047619,0.686666667,0.454022989,0.9,0.397849462,0.830687831,0.3125,0.822222222,0.281045752
capture_2020_05_25_15_24_05_2742,0,1,120,109,151,105,179,137,162,175,161,185,0,0,0,0,200,,0.75,0.494047619,0.686666667,0.454022989,0.9,0.397849462,0.830687831,0.3125,0.822222222,0.281045752
capture_2020_05_25_15_24_05_2743,0,1,120,109,151,105,179,137,162,175,161,185,0,0,0,0,200,,0.75,0.494047619,0.686666667,0.454022989,0.9,0.397849462,0.830687831,0.3125,0.822222222,0.281045752
capture_2020_05_25_15_24_05_2744,0,1,120,109,151,105,179,137,162,175,161,185,0,0,0,0,200,,0.75,0.494047619,0.686666667,0.454022989,0.9,0.397849462,0.830687831,0.3125,0.822222222,0.281045752
capture_2020_05_25_15_24_05_2745,0,1,120,109,151,105,179,137,162,175,161,185,0,0,0,0,200,,0.75,0.494047619,0.686666667,0.454022989,0.9,0.397849462,0.830687831,0.3125,0.822222222,0.281045752
capture_2020_05_25_15_24_05_2746,0,1,115,112,151,105,179,140,161,176,161,186,0,0,0,0,200,,0.717105263,0.511904762,0.686666667,0.454022989,0.9,0.413978495,0.825396825,0.31875,0.822222222,0.287581699
capture_2020_05_25_15_24_05_2747,0,1,115,112,151,105,179,140,161,176,161,186,0,0,0,0,200,,0.717105263,0.511904762,0.686666667,0.454022989,0.9,0.413978495,0.825396825,0.31875,0.822222222,0.287581699
capture_2020_05_25_15_24_05_2748,0,1,115,110,151,107,175,142,159,176,159,186,0,0,0,0,200,,0.717105263,0.5,0.686666667,0.465517241,0.88,0.424731183,0.814814815,0.31875,0.811111111,0.287581699
capture_2020_05_25_15_24_05_2749,0,1,113,112,149,110,175,142,157,176,159,186,0,0,0,0,200,,0.703947368,0.511904762,0.673333333,0.482758621,0.88,0.424731183,0.804232804,0.31875,0.811111111,0.287581699
capture_2020_05_25_15_24_05_2750,0,1,113,112,149,110,174,142,157,176,159,186,0,0,0,0,200,,0.703947368,0.511904762,0.673333333,0.482758621,0.875,0.424731183,0.804232804,0.31875,0.811111111,0.287581699
capture_2020_05_25_15_24_05_2751,0,1,110,112,149,110,172,142,156,176,157,186,0,0,0,0,200,,0.684210526,0.511904762,0.673333333,0.482758621,0.865,0.424731183,0.798941799,0.31875,0.8,0.287581699
capture_2020_05_25_15_24_05_2752,0,1,107,112,148,110,169,143,156,178,156,190,0,0,0,0,200,,0.664473684,0.511904762,0.666666667,0.482758621,0.85,0.430107527,0.798941799,0.33125,0.794444444,0.31372549
capture_2020_05_25_15_24_05_2753,0,1,102,112,148,109,167,143,154,180,154,190,0,0,0,0,200,,0.631578947,0.511904762,0.666666667,0.477011494,0.84,0.430107527,0.788359788,0.34375,0.783333333,0.31372549
capture_2020_05_25_15_34_30_2651,0,1,123,111,173,108,191,145,173,179,168,192,0,0,0,0,200,,0.769736842,0.505952381,0.833333333,0.471264368,0.96,0.440860215,0.888888889,0.3375,0.861111111,0.326797386
capture_2020_05_25_15_34_30_2652,0,1,120,111,173,108,191,145,172,179,168,192,0,0,0,0,200,,0.75,0.505952381,0.833333333,0.471264368,0.96,0.440860215,0.883597884,0.3375,0.861111111,0.326797386
capture_2020_05_25_15_34_30_2653,0,1,118,111,171,108,186,145,170,179,166,192,0,0,0,0,200,,0.736842105,0.505952381,0.82,0.471264368,0.935,0.440860215,0.873015873,0.3375,0.85,0.326797386
capture_2020_05_25_15_34_30_2654,0,1,117,111,171,108,186,145,170,179,166,192,0,0,0,0,200,,0.730263158,0.505952381,0.82,0.471264368,0.935,0.440860215,0.873015873,0.3375,0.85,0.326797386
capture_2020_05_25_15_34_30_2655,0,1,116,111,171,108,185,145,167,182,166,192,0,0,0,0,200,,0.723684211,0.505952381,0.82,0.471264368,0.93,0.440860215,0.857142857,0.35625,0.85,0.326797386
capture_2020_05_25_15_34_30_2656,0,1,110,111,166,108,180,146,163,182,161,192,0,0,0,0,200,,0.684210526,0.505952381,0.786666667,0.471264368,0.905,0.446236559,0.835978836,0.35625,0.822222222,0.326797386
capture_2020_05_25_15_34_30_2657,0,1,97,114,168,114,170,150,153,184,153,194,0,0,0,0,200,,0.598684211,0.523809524,0.8,0.505747126,0.855,0.467741935,0.783068783,0.36875,0.777777778,0.339869281
capture_2020_05_25_15_34_30_2658,0,1,96,111,172,107,168,147,152,182,152,194,0,0,0,0,200,,0.592105263,0.505952381,0.826666667,0.465517241,0.845,0.451612903,0.777777778,0.35625,0.772222222,0.339869281
capture_2020_05_25_15_34_30_2659,0,1,107,112,181,112,178,151,157,188,158,198,0,0,0,0,200,,0.664473684,0.511904762,0.886666667,0.494252874,0.895,0.47311828,0.804232804,0.39375,0.805555556,0.366013072
capture_2020_05_25_15_34_30_2660,0,0,97,118,182,118,172,158,155,191,155,203,0,0,0,0,200,,0.598684211,0.547619048,0.893333333,0.528735632,0.865,0.510752688,0.793650794,0.4125,0.788888889,0.39869281
capture_2020_05_25_15_34_30_2661,0,0,91,115,180,116,161,158,145,193,145,205,0,0,0,0,200,,0.559210526,0.529761905,0.88,0.517241379,0.81,0.510752688,0.740740741,0.425,0.733333333,0.411764706
capture_2020_05_25_15_34_30_2662,0,0,83,115,171,116,147,158,135,195,134,205,0,0,0,0,200,,0.506578947,0.529761905,0.82,0.517241379,0.74,0.510752688,0.687830688,0.4375,0.672222222,0.411764706
capture_2020_05_25_15_34_30_2663,0,0,74,115,165,116,129,158,125,195,125,205,0,0,0,0,200,,0.447368421,0.529761905,0.78,0.517241379,0.65,0.510752688,0.634920635,0.4375,0.622222222,0.411764706
capture_2020_05_25_15_34_30_2664,0,0,67,113,161,116,118,156,113,193,114,206,0,0,0,0,200,,0.401315789,0.517857143,0.753333333,0.517241379,0.595,0.5,0.571428571,0.425,0.561111111,0.418300654
capture_2020_06_04_09_35_31_1894,0,0,41,116,137,107,86,144,87,190,89,208,0,0,0,0,200,,0.230263158,0.535714286,0.593333333,0.465517241,0.435,0.435483871,0.433862434,0.40625,0.422222222,0.431372549
capture_2020_06_04_09_35_31_1895,0,0,41,115,137,106,84,143,86,189,88,207,0,0,0,0,200,,0.230263158,0.529761905,0.593333333,0.459770115,0.425,0.430107527,0.428571429,0.4,0.416666667,0.424836601
capture_2020_06_04_09_35_31_1896,0,0,42,115,138,106,82,143,86,189,88,207,0,0,0,0,200,,0.236842105,0.529761905,0.6,0.459770115,0.415,0.430107527,0.428571429,0.4,0.416666667,0.424836601
capture_2020_06_04_09_35_31_1897,0,0,42,115,138,106,84,144,87,189,88,207,0,0,0,0,200,,0.236842105,0.529761905,0.6,0.459770115,0.425,0.435483871,0.433862434,0.4,0.416666667,0.424836601
capture_2020_06_04_09_35_31_1898,0,0,42,115,139,106,84,144,87,189,89,207,0,0,0,0,200,,0.236842105,0.529761905,0.606666667,0.459770115,0.425,0.435483871,0.433862434,0.4,0.422222222,0.424836601
