,eyeClosed,Center Up,,Center,,Center Down,,Left Point,,Right Point,,Left,Right,Up,Down,Eye width:,,,,,,,,,,,
capture_2020_07_17_12_10_14_000025_left,0,58,63,61,74,63,86,28,81,86,75,0,0,0,0,100,,0.628205128,0.645833333,0.057208238,0.717647059,0.602739726,0.844155844,0.368421053,0.831168831,0.75,0.738095238
capture_2020_07_17_12_10_14_000030_left,0,37,54,40,67,42,80,7,74,70,69,0,0,0,0,100,,0.358974359,0.552083333,0.033180778,0.635294118,0.315068493,0.766233766,0.092105263,0.74025974,0.464285714,0.666666667
capture_2020_07_17_12_10_14_000030_right,0,43,46,41,58,43,71,13,66,75,60,0,0,0,0,100,,0.435897436,0.46875,0.034324943,0.529411765,0.328767123,0.649350649,0.171052632,0.636363636,0.553571429,0.55952381
capture_2020_07_17_12_10_14_001029_right,0,70,51,63,63,69,74,38,68,99,55,0,0,0,0,100,,0.782051282,0.520833333,0.059496568,0.588235294,0.684931507,0.688311688,0.5,0.662337662,0.982142857,0.5
capture_2020_07_17_12_10_14_001030_left,0,68,63,65,75,72,85,53,77,95,67,0,0,0,0,100,,0.756410256,0.645833333,0.061784897,0.729411765,0.726027397,0.831168831,0.697368421,0.779220779,0.910714286,0.642857143
capture_2020_07_17_12_10_14_001030_right,0,64,43,60,56,67,69,33,64,98,48,0,0,0,0,100,,0.705128205,0.4375,0.056064073,0.505882353,0.657534247,0.623376623,0.434210526,0.61038961,0.964285714,0.416666667
capture_2020_07_17_12_10_14_001031_left,0,67,68,66,81,73,93,48,84,94,73,0,0,0,0,100,,0.743589744,0.697916667,0.062929062,0.8,0.739726027,0.935064935,0.631578947,0.87012987,0.892857143,0.714285714
capture_2020_07_17_12_10_14_001031_right,0,65,50,62,64,69,75,36,69,97,56,0,0,0,0,100,,0.717948718,0.510416667,0.058352403,0.6,0.684931507,0.701298701,0.473684211,0.675324675,0.946428571,0.511904762
capture_2020_07_17_12_10_14_001032_left,0,64,77,62,88,68,96,47,92,90,82,0,0,0,0,100,,0.705128205,0.791666667,0.058352403,0.882352941,0.671232877,0.974025974,0.618421053,0.974025974,0.821428571,0.821428571
capture_2020_07_17_12_10_14_001032_right,0,60,59,54,72,64,82,28,76,93,64,0,0,0,0,100,,0.653846154,0.604166667,0.049199085,0.694117647,0.616438356,0.792207792,0.368421053,0.766233766,0.875,0.607142857
capture_2020_07_17_12_10_14_001033_left,0,71,76,72,87,76,98,55,92,98,81,0,0,0,0,100,,0.794871795,0.78125,0.06979405,0.870588235,0.780821918,1,0.723684211,0.974025974,0.964285714,0.80952381
capture_2020_07_17_12_10_14_001033_right,0,76,65,72,77,79,87,48,83,99,71,0,0,0,0,100,,0.858974359,0.666666667,0.06979405,0.752941176,0.821917808,0.857142857,0.631578947,0.857142857,0.982142857,0.69047619
capture_2020_07_17_12_10_14_001065_left,0,55,31,53,42,54,51,28,43,78,43,0,0,0,0,100,,0.58974359,0.3125,0.04805492,0.341176471,0.479452055,0.38961039,0.368421053,0.337662338,0.607142857,0.357142857
capture_2020_07_17_12_10_14_001065_right,0,51,55,46,65,50,75,22,65,72,71,0,0,0,0,100,,0.538461538,0.5625,0.040045767,0.611764706,0.424657534,0.701298701,0.289473684,0.623376623,0.5,0.69047619
capture_2020_07_17_12_10_14_001066_left,0,57,40,58,46,58,56,32,49,76,49,0,0,0,0,100,,0.615384615,0.40625,0.053775744,0.388235294,0.534246575,0.454545455,0.421052632,0.415584416,0.571428571,0.428571429
capture_2020_07_17_12_10_14_001066_right,0,52,62,52,71,55,79,21,68,76,76,0,0,0,0,100,,0.551282051,0.635416667,0.046910755,0.682352941,0.493150685,0.753246753,0.276315789,0.662337662,0.571428571,0.75
capture_2020_07_17_12_10_14_001067_left,1,60,49,60,50,60,52,41,52,78,50,0,0,0,0,100,,0.653846154,0.5,0.056064073,0.435294118,0.561643836,0.402597403,0.539473684,0.454545455,0.607142857,0.44047619
capture_2020_07_17_12_10_14_001067_right,1,62,76,62,77,62,79,33,73,84,83,0,0,0,0,100,,0.679487179,0.78125,0.058352403,0.752941176,0.589041096,0.753246753,0.434210526,0.727272727,0.714285714,0.833333333
capture_2020_07_17_12_10_14_002297_right,0,87,56,80,65,78,75,60,61,96,74,0,0,0,0,100,,1,0.572916667,0.078947368,0.611764706,0.808219178,0.701298701,0.789473684,0.571428571,0.928571429,0.726190476
capture_2020_07_17_12_10_14_002304_left,0,86,44,84,53,81,61,51,53,98,56,0,0,0,0,100,,0.987179487,0.447916667,0.083524027,0.470588235,0.849315068,0.519480519,0.671052632,0.467532468,0.964285714,0.511904762
capture_2020_07_17_12_10_14_002304_right,0,89,53,84,62,80,75,60,58,97,68,0,0,0,0,100,,1.025641026,0.541666667,0.083524027,0.576470588,0.835616438,0.701298701,0.789473684,0.532467532,0.946428571,0.654761905
capture_2020_07_17_12_10_14_002305_left,0,81,42,79,52,77,64,45,52,95,58,0,0,0,0,100,,0.923076923,0.427083333,0.077803204,0.458823529,0.794520548,0.558441558,0.592105263,0.454545455,0.910714286,0.535714286
capture_2020_07_17_12_10_14_002305_right,0,87,52,81,61,77,72,55,57,96,69,0,0,0,0,100,,1,0.53125,0.080091533,0.564705882,0.794520548,0.662337662,0.723684211,0.519480519,0.928571429,0.666666667
capture_2020_07_17_12_10_14_002306_left,0,78,47,77,56,74,67,41,55,95,61,0,0,0,0,100,,0.884615385,0.479166667,0.075514874,0.505882353,0.753424658,0.597402597,0.539473684,0.493506494,0.910714286,0.571428571
capture_2020_07_17_12_10_14_002306_right,0,84,52,77,62,74,73,52,57,90,68,0,0,0,0,100,,0.961538462,0.53125,0.075514874,0.576470588,0.753424658,0.675324675,0.684210526,0.519480519,0.821428571,0.654761905
capture_2020_07_17_12_10_14_002307_left,0,78,49,77,57,74,69,41,57,92,63,0,0,0,0,100,,0.884615385,0.5,0.075514874,0.517647059,0.753424658,0.623376623,0.539473684,0.519480519,0.857142857,0.595238095
capture_2020_07_17_12_10_14_002307_right,0,81,53,74,61,72,73,47,57,90,69,0,0,0,0,100,,0.923076923,0.541666667,0.07208238,0.564705882,0.726027397,0.675324675,0.618421053,0.519480519,0.821428571,0.666666667
capture_2020_07_17_12_10_14_002346_left,0,52,44,54,55,60,66,31,65,85,53,1,0,0,0,100,,0.551282051,0.447916667,0.049199085,0.494117647,0.561643836,0.584415584,0.407894737,0.623376623,0.732142857,0.476190476
capture_2020_07_17_12_10_14_002346_right,0,58,40,54,50,58,62,26,53,85,50,1,0,0,0,100,,0.628205128,0.40625,0.049199085,0.435294118,0.534246575,0.532467532,0.342105263,0.467532468,0.732142857,0.44047619
capture_2020_07_17_12_10_14_002347_left,0,46,54,50,66,53,74,27,75,76,60,1,0,0,0,100,,0.474358974,0.552083333,0.044622426,0.623529412,0.465753425,0.688311688,0.355263158,0.753246753,0.571428571,0.55952381
capture_2020_07_17_12_10_14_002347_right,0,46,41,40,53,47,64,16,58,74,52,1,0,0,0,100,,0.474358974,0.416666667,0.033180778,0.470588235,0.383561644,0.558441558,0.210526316,0.532467532,0.535714286,0.464285714
capture_2020_07_17_12_10_14_002348_left,0,38,64,43,73,47,83,20,84,68,68,1,0,0,0,100,,0.371794872,0.65625,0.036613272,0.705882353,0.383561644,0.805194805,0.263157895,0.87012987,0.428571429,0.654761905
capture_2020_07_17_12_10_14_002348_right,0,34,45,33,57,35,68,4,60,61,54,1,0,0,0,100,,0.320512821,0.458333333,0.025171625,0.517647059,0.219178082,0.61038961,0.052631579,0.558441558,0.303571429,0.488095238
capture_2020_07_17_12_10_14_002349_left,0,37,48,39,60,44,72,18,72,67,53,1,0,0,0,100,,0.358974359,0.489583333,0.032036613,0.552941176,0.342465753,0.662337662,0.236842105,0.714285714,0.410714286,0.476190476
capture_2020_07_17_12_10_14_002349_right,0,47,31,45,44,46,56,16,50,78,41,0,0,0,0,100,,0.487179487,0.3125,0.038901602,0.364705882,0.369863014,0.454545455,0.210526316,0.428571429,0.607142857,0.333333333
capture_2020_07_17_12_10_14_002350_left,0,31,42,33,55,37,67,10,67,59,51,1,0,0,0,100,,0.282051282,0.427083333,0.025171625,0.494117647,0.246575342,0.597402597,0.131578947,0.649350649,0.267857143,0.452380952
capture_2020_07_17_12_10_14_002350_right,0,44,18,43,32,43,44,9,37,75,28,0,0,0,0,100,,0.448717949,0.177083333,0.036613272,0.223529412,0.328767123,0.298701299,0.118421053,0.25974026,0.553571429,0.178571429
capture_2020_07_17_12_10_14_002351_left,0,21,64,25,74,30,88,2,86,56,68,1,0,0,0,100,,0.153846154,0.65625,0.016018307,0.717647059,0.150684932,0.87012987,0.026315789,0.896103896,0.214285714,0.654761905
capture_2020_07_17_12_10_14_002351_right,0,42,21,41,34,45,48,7,46,73,32,0,0,0,0,100,,0.423076923,0.208333333,0.034324943,0.247058824,0.356164384,0.350649351,0.092105263,0.376623377,0.517857143,0.226190476
capture_2020_07_17_12_10_14_002505_left,0,42,21,41,34,45,48,22,38,78,36,0,0,0,0,100,,0.423076923,0.208333333,0.034324943,0.247058824,0.356164384,0.350649351,0.289473684,0.272727273,0.607142857,0.273809524
capture_2020_07_17_12_10_14_002505_right,0,56,35,57,49,58,58,28,49,81,51,0,0,0,0,100,,0.602564103,0.354166667,0.052631579,0.423529412,0.534246575,0.480519481,0.368421053,0.415584416,0.660714286,0.452380952
capture_2020_07_17_12_10_14_002506_left,0,59,16,59,28,59,37,33,27,84,28,0,0,0,0,100,,0.641025641,0.15625,0.054919908,0.176470588,0.547945205,0.207792208,0.434210526,0.12987013,0.714285714,0.178571429
capture_2020_07_17_12_10_14_002506_right,0,65,29,65,38,65,48,38,38,89,43,0,0,0,0,100,,0.717948718,0.291666667,0.061784897,0.294117647,0.630136986,0.350649351,0.5,0.272727273,0.803571429,0.357142857
capture_2020_07_17_12_10_14_002507_left,1,61,30,61,32,62,34,32,31,85,29,0,0,0,0,100,,0.666666667,0.302083333,0.057208238,0.223529412,0.589041096,0.168831169,0.421052632,0.181818182,0.732142857,0.19047619
capture_2020_07_17_12_10_14_002507_right,1,59,39,58,41,58,43,35,37,79,46,0,0,0,0,100,,0.641025641,0.395833333,0.053775744,0.329411765,0.534246575,0.285714286,0.460526316,0.25974026,0.625,0.392857143
capture_2020_07_17_12_10_14_002508_left,1,56,29,57,31,57,33,30,31,79,26,0,0,0,0,100,,0.602564103,0.291666667,0.052631579,0.211764706,0.520547945,0.155844156,0.394736842,0.181818182,0.625,0.154761905
capture_2020_07_17_12_10_14_002508_right,1,58,26,57,28,57,30,33,19,84,30,0,0,0,0,100,,0.628205128,0.260416667,0.052631579,0.176470588,0.520547945,0.116883117,0.434210526,0.025974026,0.714285714,0.202380952
capture_2020_07_17_12_10_14_002509_left,1,57,19,57,21,57,23,31,21,80,20,0,0,0,0,100,,0.615384615,0.1875,0.052631579,0.094117647,0.520547945,0.025974026,0.407894737,0.051948052,0.642857143,0.083333333
capture_2020_07_17_12_10_14_002509_right,1,71,16,71,18,70,20,43,12,96,22,0,0,0,0,100,,0.794871795,0.15625,0.068649886,0.058823529,0.698630137,-0.012987013,0.565789474,-0.064935065,0.928571429,0.107142857
capture_2020_07_17_12_10_14_002510_left,1,62,13,62,14,62,16,39,16,83,15,0,0,0,0,100,,0.679487179,0.125,0.058352403,0.011764706,0.589041096,-0.064935065,0.513157895,-0.012987013,0.696428571,0.023809524
capture_2020_07_17_12_10_14_002510_right,1,75,22,75,24,74,25,51,20,97,32,0,0,0,0,100,,0.846153846,0.21875,0.073226545,0.129411765,0.753424658,0.051948052,0.671052632,0.038961039,0.946428571,0.226190476
capture_2020_07_17_12_10_14_005270_left,0,63,26,65,41,64,55,27,42,89,50,0,0,0,0,100,,0.692307692,0.260416667,0.061784897,0.329411765,0.616438356,0.441558442,0.355263158,0.324675325,0.803571429,0.44047619
capture_2020_07_17_12_10_14_005270_right,0,67,29,64,45,62,59,37,44,79,45,0,0,0,0,100,,0.743589744,0.291666667,0.060640732,0.376470588,0.589041096,0.493506494,0.486842105,0.350649351,0.625,0.380952381
capture_2020_07_17_12_10_14_005271_left,0,71,26,69,42,66,56,32,43,88,47,0,0,0,0,100,,0.794871795,0.260416667,0.066361556,0.341176471,0.643835616,0.454545455,0.421052632,0.337662338,0.785714286,0.404761905
capture_2020_07_17_12_10_14_005271_right,0,73,30,68,45,65,58,38,48,83,47,0,0,0,0,100,,0.820512821,0.302083333,0.065217391,0.376470588,0.630136986,0.480519481,0.5,0.402597403,0.696428571,0.404761905
capture_2020_07_17_12_10_14_005272_left,0,72,31,70,46,66,58,35,45,88,49,0,0,0,0,100,,0.807692308,0.3125,0.067505721,0.388235294,0.643835616,0.480519481,0.460526316,0.363636364,0.785714286,0.428571429
capture_2020_07_17_12_10_14_005272_right,0,75,33,69,48,66,60,37,50,80,49,0,0,0,0,100,,0.846153846,0.333333333,0.066361556,0.411764706,0.643835616,0.506493506,0.486842105,0.428571429,0.642857143,0.428571429
capture_2020_07_17_12_10_14_005273_left,0,79,32,75,46,71,60,39,48,93,51,0,0,0,0,100,,0.897435897,0.322916667,0.073226545,0.388235294,0.712328767,0.506493506,0.513157895,0.402597403,0.875,0.452380952
capture_2020_07_17_12_10_14_005273_right,0,77,35,72,49,69,62,42,50,84,49,0,0,0,0,100,,0.871794872,0.354166667,0.06979405,0.423529412,0.684931507,0.532467532,0.552631579,0.428571429,0.714285714,0.428571429
capture_2020_07_17_12_10_14_005274_left,0,79,32,75,46,72,61,40,47,94,51,0,0,0,0,100,,0.897435897,0.322916667,0.073226545,0.388235294,0.726027397,0.519480519,0.526315789,0.38961039,0.892857143,0.452380952
capture_2020_07_17_12_10_14_005274_right,0,75,34,71,48,67,62,40,50,81,50,0,0,0,0,100,,0.846153846,0.34375,0.068649886,0.411764706,0.657534247,0.532467532,0.526315789,0.428571429,0.660714286,0.44047619
capture_2020_07_17_12_10_14_005275_left,0,80,32,76,47,73,60,42,47,94,52,0,0,0,0,100,,0.91025641,0.322916667,0.074370709,0.4,0.739726027,0.506493506,0.552631579,0.38961039,0.892857143,0.464285714
capture_2020_07_17_12_10_14_005275_right,0,72,34,68,48,66,62,40,49,80,49,0,0,0,0,100,,0.807692308,0.34375,0.065217391,0.411764706,0.643835616,0.532467532,0.526315789,0.415584416,0.642857143,0.428571429
capture_2020_07_17_12_10_14_005276_left,0,81,33,78,49,76,63,44,49,99,53,0,0,0,0,100,,0.923076923,0.333333333,0.076659039,0.423529412,0.780821918,0.545454545,0.578947368,0.415584416,0.982142857,0.476190476
capture_2020_07_17_12_10_14_005276_right,0,77,38,73,51,72,66,43,54,84,54,0,0,0,0,100,,0.871794872,0.385416667,0.070938215,0.447058824,0.726027397,0.584415584,0.565789474,0.480519481,0.714285714,0.488095238
capture_2020_07_17_12_10_14_005277_left,0,78,34,74,48,72,62,39,50,95,52,0,0,0,0,100,,0.884615385,0.34375,0.07208238,0.411764706,0.726027397,0.532467532,0.513157895,0.428571429,0.910714286,0.464285714
